position,special_char,upper_case,numeral,aggregate,length,significance,freq_score,proper_noun,noun,verb,named_entity,cue_phrases,centrality
0.9,0,0,1,0.23,0.013422819,916.2,8,0,6,2,2,0.01,0.016503546
0.9,0,1,2,0.29,0.025167785,812.08,15,0,10,2,4,0.01,0.012207255
0.9,1,0,2,0.24,0.020134228,578.25,12,0,9,3,3,0.02,0.014754686
0.9,0,0,2,0.21,0.020134228,480.34,12,0,9,1,2,0.01,0.015355283
0.9,0,0,2,0.23,0.021812081,484.61,13,0,10,1,2,0.02,0.015933011
0.89,2,1,2,0.26,0.026845638,418.13,16,0,13,2,2,0.01,0.016173858
0.89,0,1,2,0.27,0.021812081,489,13,0,11,1,2,0.01,0.016035462
0.89,0,1,2,0.26,0.021812081,495.17,13,1,10,1,2,0.01,0.016165587
0.89,0,0,2,0.27,0.021812081,488.73,13,0,9,2,2,0.02,0.015565739
0.89,0,0,2,0.26,0.021812081,509.77,13,0,10,1,2,0.02,0.015218309
0.89,0,0,2,0.25,0.021812081,499.82,13,0,10,1,2,0.02,0.016754713
0.88,0,2,1,0.29,0.033557047,804.78,20,0,14,4,3,0.03,0.014943973
0.88,0,0,2,0.24,0.015100671,814.49,9,0,8,1,2,0.02,0.017990039
0.88,1,0,3,0.28,0.016778523,850.48,10,0,8,2,3,0.03,0.01420055
0.88,0,1,3,0.29,0.035234899,750.83,20,0,15,3,4,0.02,0.013376147
0.88,0,2,1,0.29,0.025167785,771.75,15,0,10,3,3,0.02,0.014599977
0.88,2,6,1,0.3,0.038590604,716.64,23,0,14,3,4,0.02,0.014270192
0.88,0,0,4,0.23,0.026845638,434.71,15,0,11,7,5,0.02,0.017250996
0.87,0,1,1,0.22,0.031879195,523.83,16,1,13,3,5,0.02,0.014856806
0.87,2,0,4,0.23,0.025167785,402.39,13,0,9,4,6,0.03,0.015313731
0.87,2,0,1,0.14,0.013422819,168.26,3,0,6,0,2,0,0.011402246
0.87,6,0,0,0.27,0.045302013,351.73,17,0,14,2,11,0.01,0.014562266
0.87,4,0,2,0.23,0.02852349,526.92,14,0,11,4,4,0.01,0.014633116
0.87,0,0,5,0.34,0.036912752,706.32,22,0,13,5,5,0.04,0.011344883
0.86,0,1,4,0.34,0.038590604,485.69,23,0,11,6,4,0.02,0.010964362
0.86,2,1,1,0.32,0.046979866,496.89,23,3,16,6,3,0.01,0.011067273
0.86,2,1,5,0.34,0.046979866,540.2,26,0,15,7,8,0.02,0.011022118
0.86,0,0,9,0.32,0.031879195,646.45,18,0,12,3,10,0.03,0.011996962
0.86,0,1,1,0.24,0.018456376,510.6,9,0,4,4,3,0.02,0.016493298
0.86,0,0,6,0.34,0.043624161,578.98,25,2,17,9,9,0.02,0.011135657
0.85,0,1,4,0.3,0.067114094,622.16,36,0,18,11,6,0.03,0.014042712
0.85,0,1,5,0.3,0.038590604,774.27,23,0,8,6,7,0.01,0.011571705
0.85,0,0,1,0.23,0.016778523,669.9,9,0,5,3,3,0.01,0.01603355
0.85,0,0,6,0.35,0.052013423,763.4,30,0,12,9,7,0.03,0.010384433
0.85,0,1,0,0.31,0.021812081,650.85,13,1,6,5,2,0.04,0.013436862
0.85,0,0,1,0.3,0.021812081,434.69,11,0,8,5,1,0.03,0.01362505
0.85,0,0,1,0.28,0.015100671,515.97,8,0,6,3,1,0.04,0.014131189
